ppm,co2,uv,hum,temp,label
0.84,600,14.06,54,19,3
0.74,595,13.91,54,18,3
0.74,241,1.01,54,18,3
0.74,241,1.01,54,19,3
0.74,241,1.01,54,18,3
0.74,242,1.05,54,19,3
0.64,244,1.11,53,19,3
0.74,245,1.16,51,20,3
0.74,246,1.19,51,20,3
0.74,247,1.23,52,19,3
0.74,246,1.19,52,19,3
0.74,246,1.19,52,19,3
0.64,244,1.12,52,19,3
0.64,244,1.12,51,19,3
0.64,245,1.16,51,20,3
0.64,246,1.19,51,20,3
0.74,247,1.23,51,20,3
0.64,249,1.3,50,20,3
0.74,249,1.3,50,20,3
0.74,249,1.3,50,21,3
0.74,248,1.26,49,20,3
0.84,247,1.23,49,20,3
0.64,247,1.23,50,20,3
0.74,246,1.18,51,19,3
0.74,245,1.16,51,19,3
0.64,245,1.16,51,20,3
0.84,246,1.19,51,20,3
0.74,248,1.25,50,20,3
0.64,248,1.25,50,20,3
0.64,248,1.25,50,21,3
0.64,249,1.29,49,21,3
0.64,250,1.32,48,21,3
0.64,251,1.37,48,21,3
0.64,251,1.36,48,21,3
0.74,251,1.36,47,21,3
0.64,251,1.36,47,21,3
0.74,251,1.37,47,21,3
0.74,251,1.37,48,21,3
0.74,251,1.37,48,21,3
0.74,251,1.37,48,20,3
0.74,251,1.37,48,20,3
0.74,251,1.37,49,21,3
0.64,251,1.37,48,21,3
0.74,251,1.37,47,21,3
0.74,251,1.37,47,21,3
0.74,251,1.37,47,21,3
0.74,251,1.37,48,21,3
0.64,252,1.41,47,21,3
0.64,252,1.4,47,21,3
0.74,252,1.41,46,22,3
0.64,252,1.4,45,22,3
0.74,252,1.4,45,22,3
0.64,252,1.41,45,22,3
0.74,252,1.4,46,22,3
0.74,252,1.41,47,21,3
0.74,253,1.43,47,21,3
0.84,253,1.45,47,21,3
0.74,253,1.43,46,22,3
0.74,252,1.4,47,21,3
0.74,251,1.36,47,20,3
0.74,251,1.37,47,20,3
0.74,250,1.32,48,21,3
0.74,249,1.3,47,21,3
0.74,248,1.25,47,21,3
0.64,248,1.26,47,21,3
0.74,248,1.26,47,21,3
0.74,248,1.26,47,21,3
0.74,249,1.3,47,21,3
0.74,249,1.3,46,21,3
0.64,250,1.34,46,21,3
0.74,252,1.41,47,21,3
0.74,253,1.45,47,21,3
0.74,254,1.48,47,21,3
0.74,254,1.48,47,21,3
0.64,254,1.48,47,21,3
0.74,254,1.47,46,22,3
0.74,253,1.45,45,22,3
0.74,251,1.36,45,22,3
0.64,250,1.34,45,22,3
0.64,250,1.34,45,23,3
0.74,249,1.29,44,23,3
0.74,250,1.32,43,24,3
0.74,250,1.32,42,25,3
0.74,250,1.32,41,25,3
0.84,250,1.32,41,25,3
0.74,251,1.36,41,25,3
0.64,251,1.36,41,26,3
0.74,252,1.4,40,27,3
0.74,251,1.36,39,27,3
0.64,251,1.36,39,27,3
0.64,251,1.36,39,27,3
0.74,252,1.38,39,27,3
0.84,253,1.42,38,27,3
0.74,252,1.38,39,27,3
0.74,252,1.38,38,28,3
0.74,251,1.35,38,28,3
0.74,250,1.34,38,28,3
0.64,250,1.32,38,28,3
0.64,250,1.34,37,28,3
0.74,249,1.3,37,29,3
0.64,250,1.34,37,28,3
0.74,250,1.34,37,28,3
0.74,250,1.32,37,28,3
0.74,251,1.36,37,28,3
0.74,251,1.36,37,28,3
0.84,250,1.32,36,29,3
0.74,251,1.36,35,29,3
0.74,252,1.4,35,30,3
0.84,253,1.43,34,30,3
0.74,256,1.54,34,31,3
0.74,258,1.58,33,30,3
